filename,success,log_version,encrypted,aircraft_model,aircraft_model_code,aircraft_serial,aircraft_serial_header,battery_serial,battery_serial_header,start_time,duration_seconds,takeoff_latitude,takeoff_longitude,maximum_altitude_relative_m,maximum_distance_from_home_m,total_distance_m,maximum_satellites,warning_count,sanitized_error_code
FlightRecord_2025-07-19_3s.txt,FALSE,,,,,,,,,,,,,,,,,0,DJI_PARSER_WORKER_FAILURE
FlightRecord_2025-08-16_[3s.txt,TRUE,14,TRUE,,185,1581F895C2527007AYR1,1581F895C2527007,,894PN1KDA0029R,2025-08-16T18:00:05.092+00:00,754.4,46.42089488,-94.27680762,45.2,369.21054281838235,1149.0883,26,0,
FlightRecord_2025-08-26_[21-45-27].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5GCA003SK,2025-08-27T01:45:27.972+00:00,955,39.771349712409936,-86.15676998,266.2,608.9044006808011,3867.8157,25,0,
FlightRecord_2025-08-29_[17-29-44].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5HCA000RR,2025-08-29T21:29:44.145+00:00,511.4,39.812193088496684,-86.34372259,60,272.91770120504236,3255.8083,26,0,
FlightRecord_2025-11-01_[18-16-42].txt,TRUE,14,TRUE,,185,1581F895C2527007AYR1,1581F895C2527007,,6NVPL5VDA00390,2025-11-01T22:16:42.853+00:00,1775.2,36.277788370391015,-115.0087751,59.8,271.27753786121355,1396.0974,31,0,
FlightRecord_2026-03-07_[14-36-44].txt,FALSE,,,,,,,,,,,,,,,,,0,DJI_PARSER_WORKER_FAILURE
FlightRecord_2026-03-15_[13-04-47].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5HCA000RR,2026-03-15T17:04:47.685+00:00,27.4,36.27713092242384,-115.013972,5.7,7.111939963075618,19.252293,24,0,
FlightRecord_2026-05-30_[10-30-41].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5HCA000RR,2026-05-30T14:30:41.854+00:00,1430,38.396344090648775,-76.84256588,208,1037.0571535559225,6511.485,31,0,
FlightRecord_2026-06-05_[18-32-35].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5GCA003SK,2026-06-05T22:32:35.273+00:00,1524.7,43.02381952620347,-71.02506991,300.9,1113.548571630352,7245.9106,31,0,
FlightRecord_2026-06-26_[13-21-22].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5GCA003SK,2026-06-26T17:21:22.762+00:00,237.3,41.236925311243134,-82.54229551,80.6,451.14390870992645,1086.5303,25,0,
FlightRecord_2026-07-17_[19-40-15].txt,TRUE,14,TRUE,,137,1581F986C255U0021R71,1581F986C255U002,,8U8PN5HCA000RR,2026-07-17T23:40:15.979+00:00,1637.2,38.160122861241035,-122.4565964,304.2,933.9534162120185,7382.9014,31,0,
